Decimal Number,Gray Code,Binary Code
0,00000,00000
1,00001,00001
2,00011,00011
3,00010,00011
4,00110,00100
5,00111,00101
6,00101,00110
7,00100,00111
8,01100,01000
9,01101,01001
10,01111,01010
11,01110,01011
12,01010,01100
13,01011,01101
14,01001,01110
15,01000,01111
16,11000,10000
17,11001,10001
18,11011,10010
19,11010,10011
20,11110,10100
21,11111,10101
22,11101,10110
23,11100,10111
24,10100,11000
25,10101,11001
26,10111,11010
27,10110,11011
28,10010,11100
29,10011,11101
30,10001,11110
31,10000,11111
